flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
0,-942112085.8951032,-750596817.688720000,0,1,0,0,,,,,,,,,77,4571.0,14393,368395734.40000004,77,4571.0,14393,368395734.40000004,-1979981805.893398,-942112085.8951032,0,3872265232.787751,-1979981805.893398,-942112085.8951032,0,3872265232.787751,ixveriwave,5,5
1,-942112085.8951032,-750596817.688720000,0,1,0,0,,,,,,,,,77,4571.0,14393,368395734.40000004,77,4571.0,14393,368395734.40000004,-1979981805.893398,-942112085.8951032,0,3872265232.787751,-1979981805.893398,-942112085.8951032,0,3872265232.787751,ixveriwave,5,5
2,-942112085.8951032,-750596817.688720000,0,1,0,0,,,,,,,,,77,4571.0,14393,368395734.40000004,77,4571.0,14393,368395734.40000004,-1979981805.893398,-942112085.8951032,0,3872265232.787751,-1979981805.893398,-942112085.8951032,0,3872265232.787751,ixveriwave,5,5
3,20.842196416666667,250.106357000,0,0,12,0,,,192.168.18.10,224.0.0.251,88:19:08:16:23:73,0c:8b:fd:18:40:2f,,,46,46.0,46,256036.00000000003,999999,0,0,0,0.0,20.842196416666667,36.269733,229.62772104930954,9999,0,0,0,eth:ethertype:ip:igmp:igmp,12,0
4,0.257677,0.515354000,0,1,0,0,,,,,74:c1:4f:f3:09:7f,0c:8b:fd:18:40:2f,,,90,90.0,90,8100.0,90,90.0,90,8100.0,0.0,0.257677,0.515354,0.364410308111612,0.0,0.257677,0.515354,0.364410308111612,eth:ethertype:ipv6:ipv6.hopopts:icmpv6,2,2
5,0.0,0.000000000,0,0,1,0,,,192.168.18.10,224.0.0.251,88:19:08:16:23:73,0c:8b:fd:18:40:2f,,,46,46.0,46,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:igmp:igmp,1,0
6,0.471062,0.942124000,0,1,0,0,,,,,f4:c2:48:73:3b:19,0c:8b:fd:18:40:2f,,,90,90.0,90,8100.0,90,90.0,90,8100.0,0.0,0.471062,0.942124,0.6661822691185949,0.0,0.471062,0.942124,0.6661822691185949,eth:ethertype:ipv6:ipv6.hopopts:icmpv6,2,2
7,21.312911333333332,63.938734000,0,1,0,0,,,,,48:57:02:1c:e3:28,0c:8b:fd:18:40:2f,,,86,86.0,86,29584.0,86,86.0,86,29584.0,0.0,21.312911333333332,59.558679,50.51264802519207,0.0,21.312911333333332,59.558679,50.51264802519207,eth:ethertype:ipv6:icmpv6,3,3
8,1.0082335,2.016467000,0,1,0,0,,,,,88:19:08:16:23:73,0c:8b:fd:18:40:2f,,,90,90.0,90,8100.0,90,90.0,90,8100.0,0.0,1.0082335,2.016467,1.4258574897388938,0.0,1.0082335,2.016467,1.4258574897388938,eth:ethertype:ipv6:ipv6.hopopts:icmpv6,2,2
9,48.001812,240.009060000,0,1,0,0,,,,,48:57:02:1c:e3:30,0c:8b:fd:18:40:2f,,,70,70.0,70,78400.0,70,70.0,70,78400.0,0.0,48.001812,60.011616,193.50149044416844,0.0,48.001812,60.011616,193.50149044416844,eth:ethertype:ipv6:icmpv6,5,5
